default,student,balance,income
0,0,729.5264952072857,44361.62507426686
0,1,817.1804065554977,12106.134700314931
0,0,1073.549164011728,31767.138947399937
0,0,529.2506047452785,35704.4939350781
0,0,785.655882930501,38463.49587872287
0,1,919.5885304745,7491.558571827461
0,0,825.513330517201,24905.226577523485
0,1,808.667504297266,17600.451343586858
0,0,1161.0578540313222,37468.529287537516
0,0,0.0,29275.2682931678
0,1,0.0,21871.07308927755
0,1,1220.5837530037688,13268.562220926111
0,0,237.04511397747197,28251.695344963136
0,0,606.7423433024642,44994.55584921731
0,0,1112.9684006330451,23810.17405003605
0,0,286.23256013922395,45042.413035885525
0,0,0.0,50265.312353598536
0,1,527.540184074571,17636.539617293645
0,0,485.9368641717292,61566.10611780103
0,0,1095.0727352873976,26464.631389229013
0,0,228.9525496425724,50500.18219774414
0,0,954.2617927735457,32457.509075075443
0,0,1055.956604729044,51317.8830823874
0,0,641.9843888480208,30466.103257481387
0,0,773.211724534176,34353.314305003834
0,0,855.0085225256915,25211.33216145394
0,0,642.9997385154295,41473.511801018685
0,0,1454.8632724840368,32189.094952317842
0,0,615.7042765604052,39376.3946187014
0,1,1119.569353328648,16556.070205351072
0,0,494.8162288073257,54384.78283613856
0,1,448.8806562560393,15799.470409795576
0,1,584.90489468245,22429.935046216757
0,0,913.5871726089281,46907.225402862314
0,1,1423.9389166408805,22634.4880875812
0,1,1499.7246565597338,13190.652716410257
0,0,692.034167065432,47806.61177289631
0,0,351.4534715230098,35087.48864808582
0,0,742.6276207855974,37864.823938895184
0,0,653.1184001233884,39489.594702861265
0,0,872.1386795384768,41787.567268901184
0,0,837.2626227541713,51471.77209463774
0,0,1151.6305660826526,42917.46956362817
0,1,220.55560838643973,16872.947555781422
0,1,1690.234410387009,19052.572224695494
0,0,408.77291430518517,54206.9392120179
0,0,1238.610321241124,50066.6805336538
0,0,1228.3083503533585,37408.50386850756
0,0,820.9192041461838,47746.54207310161
0,0,857.4851177765004,31688.345973891915
0,0,563.6181771823624,42641.253266646025
0,1,1282.9725335957778,13120.636469602681
0,1,1505.7826748288405,26557.14144588081
0,1,904.0402590668127,16882.300605653527
0,0,0.0,49956.580571905964
0,1,1294.497346673102,10464.320731923122
0,1,1275.550632723641,15887.468486777369
0,0,1536.5946009725167,48766.90745756152
0,0,1332.5226438669488,39143.13706901777
0,0,492.0797678154106,33379.09460283949
0,0,766.2343793038934,46478.2942569524
0,0,690.1272461999931,63432.984254467425
0,0,0.0,32481.540046115137
0,0,1480.655309262662,36866.15706868477
0,0,989.055596975304,45344.251320264746
0,0,1302.3418351685646,33695.42623326361
0,0,1044.5523432847149,54696.76598162258
0,0,0.0,43658.22772399567
0,0,866.0284363679901,38363.42163471178
0,0,690.800792354134,48140.47133599499
0,0,597.7571420170611,31577.615125567685
0,0,429.4854023062761,51311.218101023034
0,0,1398.1562014832557,39644.94219318956
0,1,1578.0640985399407,19886.493951516848
0,0,857.0690531342426,26655.68896537547
0,1,752.459945958806,16211.275788182638
0,1,774.7384269639268,15193.733135524952
0,0,728.3732513025868,45131.71826469096
0,0,76.99129052990712,28392.093412284645
0,0,196.4569131361834,41346.78591323998
0,1,948.7479183886163,14297.619048551254
0,0,431.9208853041759,39369.881563100804
0,0,461.63818223378007,46221.21149482338
0,0,572.0157602305989,33046.31295750332
0,0,335.5681447331789,51258.444229962064
0,0,510.2375931563797,60397.718648694776
0,1,1005.1613055557738,24038.65204331176
0,1,162.4544510865644,13241.752060075938
0,0,932.5331556823303,50537.465648460166
0,1,893.3304676122754,11905.681792548357
0,0,1332.7825635257136,44495.16276290536
0,0,1404.3830694521523,35043.106028674214
0,1,1148.96513915926,16578.19211847288
0,0,368.22342572054487,57596.825843193525
0,0,449.46662876927286,45950.66672386865
0,0,820.0171125784228,51584.6573183834
0,1,619.7518685755929,15750.622083422251
0,0,1047.718124009614,46416.970994241936
0,0,243.84132832575975,47193.88813097064
0,0,186.50038693149475,45430.5502710943
0,0,1422.0184875757648,38224.031521497156
0,0,383.7986590056735,61425.286388114015
0,0,1159.435096088591,45802.104938690885
0,0,882.9919125518503,17181.737966381832
0,0,1463.232891610859,65457.85418758238
0,1,1722.3558462831463,19311.42294080441
0,1,773.9218612577348,14558.91213838347
0,0,958.1694184689882,32816.284795641535
0,0,1207.532730149514,68037.57512617772
0,0,1056.6108304962984,30546.60103437739
0,0,117.64248393177627,46550.26727059632
0,0,596.9641192370044,58088.360451264925
0,0,0.0,47729.62575819714
0,1,541.6627553244571,16335.703440602125
0,0,1119.1783034180555,45020.01912170133
0,1,810.320936469835,20498.66581411005
0,0,271.5514377470097,32850.12014480788
0,0,1114.4032365042754,47714.0221084582
0,0,867.0308280535645,33540.97998481107
0,1,1176.7894016771984,17632.712103849048
0,0,610.2278186613985,42465.36296406835
0,0,272.6156617155352,55449.338640640206
0,0,449.7350858368591,49643.42644166769
0,1,827.7672094003244,10673.526225392208
0,0,430.0000994499006,33925.21959767417
0,0,0.0,31825.76497192149
0,1,1557.3446366822816,18404.594189222036
0,0,928.236966261476,33722.158941567664
0,0,1373.4501632892882,49101.798214189694
0,1,951.0729074999845,18601.533237494372
0,1,1292.210868505424,23065.850975377016
0,0,582.1887007065551,24760.795733056395
0,1,339.42463828091275,19307.98029024997
0,0,409.98232460876574,44641.090118395965
0,0,1216.4515095543345,53639.846827384325
0,0,598.4613921235853,44124.268114643586
1,1,1486.99812160021,17854.39702807307
0,0,943.7963387137615,59976.839867644434
0,0,0.0,49525.745020849405
0,1,996.2760867665917,20883.240767623756
0,1,748.3013403612551,11248.670752734824
0,0,324.7379217820321,15411.518567294279
0,1,575.382158489508,16005.681319005704
0,0,441.73828492625313,36012.23589645537
0,0,1188.6421795529354,39526.56126526457
0,0,95.14768019040548,51371.19991475977
0,0,1015.6148374840176,43218.794375242986
0,0,1258.5673927256744,44931.67491774615
0,1,1178.2444135284586,7750.2892205592125
0,0,731.5326562544072,43956.060083972836
0,0,350.0887921398716,44455.19951503564
0,0,418.8483454338367,36901.78332812022
0,0,533.2294651813738,39393.54247727477
0,0,95.29697412836799,32359.389028428603
0,1,1453.0059320730254,15933.002110981919
0,0,352.6444140314647,39404.74436647615
0,1,736.2389354625,14107.993965337568
0,0,1306.4845722752016,41224.62502424323
0,0,1149.145627178988,45194.794662078435
0,0,703.2268907215382,57679.27914251794
0,1,1360.8004354123805,18864.308488667928
0,0,31.44508054473283,53287.350301314895
0,0,988.2144580693857,48570.363456632746
0,0,360.0190735843628,23927.5466133912
0,0,647.4835286192732,33226.27754467848
0,1,0.0,9816.789437557558
0,0,445.24181921630407,31974.62450689777
0,1,878.5420645010408,17496.741482195568
0,1,335.83411857617216,21759.8702696952
0,0,666.6088814343364,30438.46882662667
0,0,813.8766470198642,40737.45977660979
0,0,836.3000716231912,54607.178739543815
0,0,967.4826836817796,33055.110272329846
1,1,2205.7995211482867,14271.49225297598
0,1,1258.1852191443056,11672.222003339655
0,0,1239.8016990845524,40107.17221042309
0,1,0.0,13760.298455687329
0,1,927.8877322636066,22473.379610953696
0,1,1390.0307825189202,21299.099226533534
0,0,410.497704767954,53471.21363032554
0,0,73.07654218465666,30681.73753514678
0,0,790.5977592473703,45303.10331412611
0,0,789.4950969838202,32579.900205947382
0,0,791.3604220787433,46319.23611908537
0,0,479.0423789903558,37255.88033428042
0,0,888.6132725502116,28899.79175136366
0,0,1284.386360506357,42831.95461939973
0,1,712.2763512802746,23341.950230243223
0,1,1290.6201686492095,18408.04908196085
0,0,126.36268539905676,44280.92978856536
0,0,779.3762576956508,61158.8851121863
0,0,697.490957463777,49476.75959928104
0,0,606.9746135483059,43610.03301733712
0,1,1802.903333557395,21411.42394902492
0,0,900.0853325974987,41276.563189498665
0,0,966.280287968092,33440.979299777464
0,0,671.0613596391643,35689.11187391076
0,0,171.5591159598556,23505.9927713232
0,0,1482.4803000631516,45260.61159778482
0,0,640.6627517324736,46464.56593227619
0,1,706.1610275419855,18078.351792172925
1,1,1774.6942230577552,20359.506085567093
0,0,916.4993169230901,25768.407446721325
0,0,1271.2708123604025,36053.50295030609
0,0,110.57290981198251,47339.1087511931
0,0,1747.258881529589,37819.2890860198
1,0,1889.5991897630372,48956.17158856812
0,0,27.201394650576507,21051.840125970084
0,0,746.2297750573914,35159.850228878786
1,1,1899.3906258472011,20655.20000326244
0,1,813.9945655253488,20391.528948171275
0,0,499.45781509463615,38899.16046100955
0,0,853.1613316608602,36272.45178359107
0,0,474.7273190882879,32064.335105797447
0,0,1235.8761134541733,35838.77701535878
0,0,620.675152595598,44213.770101261965
0,0,220.02856976493442,37880.029647159696
0,1,1304.914299318287,18074.07541520214
0,1,1608.1525598433504,22358.046702011103
0,0,256.47122755981536,37657.05591679985
0,1,1153.6049981538354,19224.975229841857
0,0,771.8958745085193,31170.085283676646
0,1,1099.6304221772843,17064.042827958365
0,0,782.8830296639053,40357.13342660188
0,0,444.26490617527253,35924.338792927454
0,0,504.0283787380297,24780.961236920502
0,0,1762.5034019881573,42124.660067393444
0,1,850.0961165964608,18618.987907501854
0,0,1412.238721303172,40785.05976942116
0,0,715.4968295886695,47482.565376730476
0,0,1363.528599421329,55713.04160791288
0,0,493.2418897993869,42495.203084066256
0,0,1354.7525372035793,33375.13169037777
0,1,571.293911015155,15416.269354685777
0,0,956.1513521834503,44086.70773423138
0,0,964.8202529853808,34390.74603505663
0,0,552.6343660246578,50513.164238434714
0,0,338.2662016470924,37767.239862892966
0,0,709.1233513562158,44041.6300941084
0,0,978.9782004104584,57839.053734373614
0,0,371.010127817542,15702.707083035895
1,1,1572.856480823635,14930.1783306833
0,0,0.0,40150.217981059
1,0,1964.476872252755,39054.589144313846
0,0,548.0377834424877,33605.64946865721
0,0,1257.0552216859442,34045.00882472422
0,0,1189.9180569741936,38016.89390285781
0,0,687.6837590148732,39373.57974624149
0,0,845.6989658385336,39899.51268083933
0,1,957.6848337701401,19676.345649172257
0,0,233.5168462670509,43326.10537939902
0,1,1126.9487439212305,14298.264568672894
0,1,488.855176548209,15159.494847533668
0,0,767.9035597804951,44323.579663800636
0,0,561.9257991243951,31388.50564541621
0,1,1092.2700127724645,17454.601839530813
